T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec,total_params
4,1,10,7.8024,4.7709,1.9775,14.5508,0.065753,90.86,2.0709,428354
4,2,10,7.9645,4.5565,2.0203,14.5413,0.076852,87.1,2.0771,428354
4,3,10,7.8006,4.6691,2.0606,14.5303,0.063541,91.75,2.0665,428354
8,1,10,12.0362,7.1037,0.5135,19.6535,0.220583,93.54,2.5402,428354
8,2,10,12.0877,7.1127,0.4765,19.6768,0.21626,92.6,2.5409,428354
8,3,10,12.0512,7.1268,0.4783,19.6564,0.239288,90.12,2.5419,428354
16,1,10,21.5708,8.8758,1.5899,32.0365,2.295308,94.89,3.5377,428354
16,2,10,21.6807,8.8716,1.5198,32.0722,2.262776,97.02,3.5481,428354
16,3,10,21.8666,8.8728,1.0269,31.7664,1.947579,96.63,3.5387,428354
32,1,10,37.3553,17.416,0.9533,55.7246,3.076789,98.04,5.8458,428354
32,2,10,36.8833,17.5521,2.175,56.6104,3.175717,98.23,5.8442,428354
32,3,10,36.909,17.5318,2.0643,56.5052,3.203028,97.83,5.8246,428354
64,1,10,69.4721,35.2019,0.3288,105.0028,4.749926,96.39,10.4562,428354
64,2,10,69.4291,35.1614,0.3956,104.9861,4.324009,95.87,10.4529,428354
64,3,10,69.421,35.1565,0.6886,105.2661,5.125151,96.5,10.4484,428354
