T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
32,2,1,37.818,17.544,0.7199,56.0819,12.950301,92.82,5.8386
32,2,2,37.2381,17.5142,1.5046,56.2568,6.879762,96.04,5.8517
32,2,3,37.5324,17.3248,0.8292,55.6864,5.684739,96.34,5.8378
32,2,4,37.4791,17.5071,1.1896,56.1757,5.033591,96.36,5.8472
32,2,5,37.3249,17.5519,1.706,56.5828,4.326389,96.91,5.8157
32,2,6,37.1229,17.5821,1.6919,56.3968,4.130896,97.82,5.8559
32,2,7,37.4682,17.5654,1.3142,56.3479,3.614395,97.41,5.8358
32,2,8,37.6302,17.5576,0.8984,56.0861,3.477074,97.04,5.8406
32,2,9,37.2411,17.5643,1.7138,56.5192,3.352696,98.02,5.8312
32,2,10,36.8833,17.5521,2.175,56.6104,3.175717,98.23,5.8442
