T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec,total_params,backend
4,1,10,2.2749,3.0081,6.8965,12.1795,0.566035,97.45,1.6794,428354,torch
4,2,10,2.3216,3.0107,6.9204,12.2527,0.59924,97.25,1.6861,428354,torch
4,3,10,2.2965,3.0133,6.8876,12.1973,0.580141,97.42,1.6734,428354,torch
8,1,10,4.1515,5.5529,4.8011,14.5055,1.174347,97.9,1.7133,428354,torch
8,2,10,4.2556,5.6397,4.6389,14.5341,1.454413,97.08,1.7198,428354,torch
8,3,10,4.1694,5.446,4.9059,14.5212,1.358692,97.45,1.7162,428354,torch
16,1,10,8.0203,10.657,0.5568,19.2341,2.563406,97.92,1.7829,428354,torch
16,2,10,8.0635,10.7054,0.4691,19.238,2.480554,97.94,1.7868,428354,torch
16,3,10,8.0274,10.5895,0.6509,19.2677,2.662809,97.72,1.7883,428354,torch
32,1,10,14.5937,19.2122,2.2543,36.0602,5.666896,97.81,1.9315,428354,torch
32,2,10,14.5806,19.2609,2.2336,36.0751,5.986547,97.76,1.9324,428354,torch
32,3,10,14.598,19.2721,2.1688,36.0389,5.669103,97.85,1.9268,428354,torch
64,1,10,24.2867,52.966,2.3272,79.5799,13.553937,97.76,2.2093,428354,torch
64,2,10,25.0309,52.9848,1.3755,79.3912,13.209647,97.43,2.2084,428354,torch
64,3,10,24.4183,53.0314,2.0726,79.5224,13.037079,97.38,2.2129,428354,torch
