T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
32,1,1,14.5603,19.1966,2.2913,36.0482,56.006827,89.82,1.9344
32,1,2,14.6201,19.3042,2.0937,36.018,32.93949,93.4,1.9277
32,1,3,14.6057,19.3285,2.0815,36.0157,24.080452,94.99,1.9257
32,1,4,14.6181,19.258,2.1867,36.0628,17.397132,96.13,1.9286
32,1,5,14.6104,19.2398,2.2079,36.0581,13.063699,96.68,1.9321
32,1,6,14.6487,19.3518,1.9985,35.9991,10.62853,97.14,1.9305
32,1,7,14.6461,19.3208,2.0546,36.0215,8.96239,97.18,1.93
32,1,8,14.5706,19.3594,2.0769,36.0068,7.526226,97.5,1.9272
32,1,9,14.591,19.3314,2.0701,35.9924,6.438338,97.6,1.9344
32,1,10,14.5937,19.2122,2.2543,36.0602,5.666896,97.81,1.9315
