T,run,epoch,forward_time_sec,backward_time_sec,data_loading_time_sec,total_epoch_time_sec,train_loss,test_accuracy_pct,inference_time_sec
1,3,1,0.3044,0.7686,8.5498,9.6228,0.22185,97.77,1.5619
1,3,2,0.3043,0.7639,8.5943,9.6625,0.060705,98.87,1.5639
1,3,3,0.3037,0.7752,8.5802,9.659,0.040333,98.92,1.5668
1,3,4,0.3033,0.7645,8.5937,9.6614,0.031545,98.75,1.5659
1,3,5,0.3035,0.768,8.5842,9.6557,0.024001,99.2,1.5701
1,3,6,0.3046,0.7636,8.5724,9.6405,0.018248,99.12,1.563
1,3,7,0.3033,0.7651,8.5746,9.643,0.015892,99.1,1.5701
1,3,8,0.3036,0.7677,8.5939,9.6651,0.013042,99.01,1.5657
1,3,9,0.3061,0.7736,8.6039,9.6836,0.012645,98.84,1.5654
1,3,10,0.304,0.775,8.561,9.64,0.009755,98.95,1.57
