T,run,ann_accuracy_pct,snn_accuracy_pct,accuracy_drop_pct,inference_time_sec,inference_per_sample_ms,total_params
8,1,99.1,97.7,1.4,3.5696,0.357,428354
16,1,99.1,98.92,0.18,2.2954,0.2295,428354
32,1,99.1,99.05,0.05,2.9916,0.2992,428354
64,1,99.1,99.06,0.04,4.502,0.4502,428354
128,1,99.1,99.11,-0.01,7.6317,0.7632,428354
256,1,99.1,99.1,0.0,13.8838,1.3884,428354
512,1,99.1,99.1,0.0,26.3285,2.6328,428354
1024,1,99.1,99.1,0.0,51.308,5.1308,428354
8,2,99.19,94.81,4.38,1.9576,0.1958,428354
16,2,99.19,99.1,0.09,2.3002,0.23,428354
32,2,99.19,99.15,0.04,2.9991,0.2999,428354
64,2,99.19,99.17,0.02,4.5097,0.451,428354
128,2,99.19,99.18,0.01,7.6484,0.7648,428354
256,2,99.19,99.2,-0.01,13.9227,1.3923,428354
512,2,99.19,99.19,0.0,26.4574,2.6457,428354
1024,2,99.19,99.19,0.0,50.8167,5.0817,428354
8,3,98.96,95.01,3.95,1.9505,0.1951,428354
16,3,98.96,98.74,0.22,2.3089,0.2309,428354
32,3,98.96,98.98,-0.02,2.9893,0.2989,428354
64,3,98.96,98.93,0.03,4.5091,0.4509,428354
128,3,98.96,98.95,0.01,7.6451,0.7645,428354
256,3,98.96,98.94,0.02,13.9335,1.3933,428354
512,3,98.96,98.96,0.0,26.5125,2.6513,428354
1024,3,98.96,98.96,0.0,51.5133,5.1513,428354
